Competitive Bid Service Area,Company Name,DBA Name,Address,Address 2,City,State,Zip,Zip Plus 4,Phone,Oxygen Supplies and Equipment,Mail-Order Diabetic Supplies,"Enteral Nutrients, Equipment and Supplies","CPAP Devices, Respiratory Assist Devices, and Related Supplies and Accessories",Hospital Beds and Related Accessories,Negative Pressure Wound Therapy Pumps and Related Supplies and Accessories,Walkers and Related Accessories,Support Surfaces (Group 2 mattresses and overlays),"Standard (Power & Manual) Wheelchairs, Scooters, and Related Accessories",External Infusion Pumps and Supplies,General Home Equipment and Related Supplies and Accessories,Respiratory Equipment and  Related Supplies and Accessories,Standard Mobility Equipment and Related Accessories,Is Supplier Participating?,Automatic External Defibrillators (AEDS),"Commodes, Urinals, & Bedpans",Continuous Passive Motion (CPM) Devices,Dynamic Splints,Blood Glucose Monitors & Supplies: Non-Mail Order,Blood Glucose Monitors & Supplies: Mail Order,Blood Glucose Monitors: Mail Order,Gastric Suction Pumps,Heat & Cold Applications,Hospital Beds: Electric,Hospital Beds: Total Electric & Pediatric,Hospital Beds: Manual,Hospital Beds: Manual & Pediatric,Infrared Heating Pad Systems,Infusion Pumps & Supplies: External Infusion,Infusion Pumps: Implantable & Uninterrupted,Infusion Pumps & Supplies: Insulin Infusion,Infusion Pumps & Supplies: Implanted Infusion,Negative Pressure Wound Therapy Pumps & Supplies,Neuromuscular Electrical Stimulators (NMES),Osteogenesis Stimulators,Pneumatic Compression Devices,Speech Generating Devices,"Support Surfaces: Pressure Reducing Beds, Mattresses, Overlays, & Pads",Support Surfaces (e.g. Air Fluidized bed),Traction Equipment,Transcutaneous Electrical Nerve Stimulators (TENS) Units,Ultraviolet Light Devices,Home Dialysis Equipment & Supplies,Hemodialysis Equipment & Supplies,Canes & Crutches,Patient Lifts,Power Operated Vehicles (Scooters),Seat Lift Mechanisms,Walkers,Wheelchairs & Accessories: Standard Manual,Wheelchairs & Accessories: Standard Manual (e.g. Pediatrics),Wheelchairs & Accessories: Standard Power,Wheelchairs & Accessories: Standard Power (e.g. Pediatrics and custom cushions ),Wheelchairs & Accessories: Complex Rehabilitative Manual,Wheelchairs & Accessories: Complex Rehabilitative Power,"Wheelchairs & Accessories: Complex Rehabilitative Power (e.g. Group 3, Group 4, Group 5)",Wheelchair Seating/Cushions,Wheelchair Seating/Cushions (e.g. skin protecting seat cushions),Orthoses: Custom Fabricated,Orthoses: Prefabricated,Orthoses: Off-the-Shelf,Breast Prostheses & Accessories,Cochlear Implants,Facial Prostheses,Neurostimulators,Ocular Prostheses,Ostomy Supplies,Somatic Prostheses,Tracheostomy Supplies,Urological Supplies,Voice Prosthetics,Prosthetic Lenses: Conventional Eyeglasses,Prosthetic Lenses: Conventional Contact Lenses,Prosthetic Lenses: Prosthetic Cataract Lenses,"Enteral Nutrients, Equipment, & Supplies",Enteral Nutrients & Supplies for Special Metabolic Needs and Pediatrics,"Parenteral Nutrients, Equipment & Supplies",Limb Prostheses,Eye Prostheses,"CPAP, RADs, & Related Supplies & Accessories",CPAP and RADs Supplies (e.g. combination masks),High Frequency Chest Wall Oscillation (HFCWO) Devices,Invasive Mechanical Ventilation,Intermittent Positive Pressure Breathing (IPPB) Devices,Intrapulmonary Percussive Ventilation Devices,Mechanical In-Exsufflation Devices,Nebulizer Equipment & Supplies,Nebulizer Equipment: Ultrasonic and Controlled Dose,Oxygen Equipment & Supplies,Respiratory Suction Pumps,"Ventilators, Accessories & Supplies",Surgical Dressings,Diabetic Shoes & Inserts: Prefabricated,Diabetic Shoes & Inserts: Custom Fabricated
,"MEDICAL EQUIPMENT DISTRIBUTORS OF ALASKA, INC.                        ",MEDAK INC                               ,3650 LAKE OTIS PARKWAY                                 ,SUITE 202                                              ,ANCHORAGE                     ,AK,99508,    ,(907)569-0004,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
,MUNGER PROSTHETICS AND ORTHOTICS INC                                  ,MUNGER PROSTHETICS AND ORTHOTICS IN     ,5701 LAKE OTIS PKWY                                    ,STE 400                                                ,ANCHORAGE                     ,AK,99507,    ,(407)743-9991,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES
,NORDSTROM INC                                                         ,NORDSTROM INC                           ,603 D ST                                               ,                                                       ,ANCHORAGE                     ,AK,99501,    ,(907)279-7622,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
,NORTHERN ORTHOPEDICS INC                                              ,NORTHERN ORTHOPEDICS INC                ,3400 LATOUCHE STREET                                   ,SUITE 100                                              ,ANCHORAGE                     ,AK,99508,    ,(907)561-1777,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES
,"NORTHWEST MEDICAL, INC.                                               ",NORTHWEST MEDICAL INC                   ,5633 B ST                                              ,                                                       ,ANCHORAGE                     ,AK,99518,    ,(907)563-0073,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,NO
,PROCARE HOME MEDICAL INC                                              ,PROCARE HOME MEDICAL INC                ,713 NORTHWAY DR                                        ,                                                       ,ANCHORAGE                     ,AK,99508,    ,(907)274-0770,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,NO
,PROVIDENCE HEALTH & SERVICES - WASHINGTON                             ,MEDICAL ARTS PHARMACY                   ,3300 PROVIDENCE DR                                     ,STE 101                                                ,ANCHORAGE                     ,AK,99508,    ,(907)212-5090,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
,RAPID RECOVERY                                                        ,RAPID RECOVERY MEDICAL SERVICE          ,4100 LAKE OTIS PARKWAY                                 ,SUITE 330                                              ,ANCHORAGE                     ,AK,99508,    ,(907)562-7273,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
,SAMS WEST INC                                                         ,SAM'S PHARMACY 10-6601                  ,8801 OLD SEWARD HWY                                    ,                                                       ,ANCHORAGE                     ,AK,99515,    ,(907)644-0880,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
,SAMS WEST INC                                                         ,SAM'S PHARMACY 10-6602                  ,1074 N MULDOON RD                                      ,                                                       ,ANCHORAGE                     ,AK,99504,    ,(907)677-7050,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
,TARGET CORPORATION                                                    ,TARGET STORE T-2371                     ,1200 N MULDOON RD                                      ,STE F                                                  ,ANCHORAGE                     ,AK,99504,    ,(907)269-2101,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
,TARGET CORPORATION                                                    ,TARGET STORE T-2372                     ,150 W 100TH AVE                                        ,STE A                                                  ,ANCHORAGE                     ,AK,99515,    ,(907)267-7501,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
,WAL-MART STORES INC                                                   ,WAL MART PHARMACY 10-2071               ,8900 OLD SEWARD HWY                                    ,                                                       ,ANCHORAGE                     ,AK,99515,    ,(907)334-7300,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
,WAL-MART STORES INC                                                   ,WAL-MART  PHARMACY 10-4359              ,7405 DEBARR RD                                         ,                                                       ,ANCHORAGE                     ,AK,99504,    ,(907)339-9037,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
,WAL-MART STORES INC                                                   ,WAL-MART PHARMACY 10-2070               ,3101 A ST                                              ,                                                       ,ANCHORAGE                     ,AK,99503,    ,(907)563-6600,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
,WALGREEN CO                                                           ,WALGREENS # 13449                       ,12405 BRANDON ST                                       ,                                                       ,ANCHORAGE                     ,AK,99515,    ,(907)646-4023,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO
,WALGREEN CO                                                           ,WALGREENS #12679                        ,7600 DEBARR RD                                         ,                                                       ,ANCHORAGE                     ,AK,99504,    ,(907)771-9920,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO
,WALGREEN CO                                                           ,WALGREENS #12680                        ,2197 W DIMOND BLVD                                     ,                                                       ,ANCHORAGE                     ,AK,99515,    ,(907)339-9600,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO
,WALGREEN CO                                                           ,WALGREENS #15092                        ,1470 W NORTHERN LIGHTS BLVD                            ,                                                       ,ANCHORAGE                     ,AK,99503,    ,(907)770-2503,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO
,WALGREEN CO                                                           ,WALGREENS #15653                        ,4353 LAKE OTIS PARKWAY                                 ,                                                       ,ANCHORAGE                     ,AK,99518,    ,(907)561-2005,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO
,WALGREEN CO                                                           ,WALGREENS #15654                        ,2550 E 88TH AVE                                        ,                                                       ,ANCHORAGE                     ,AK,99507,    ,(907)349-9292,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES
,WALGREEN CO                                                           ,WALGREENS 13656                         ,725 E NORTHERN LIGHTS BLVD                             ,                                                       ,ANCHORAGE                     ,AK,99503,    ,(907)644-8400,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO
,WILLIAM D. FAULKNER O.D. P.C.                                         ,DR BILL FAULKNER                        ,400 L STREET                                           ,STE 104                                                ,ANCHORAGE                     ,AK,99501,    ,(907)276-1984,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
,CARR-GOTTSTEIN FOODS COMPANY                                          ,CARR-GOTTSTEIN FOODS COMPANY            ,11431 BUSINESS BLVD                                    ,                                                       ,EAGLE RIVER                   ,AK,99577,    ,(907)726-0760,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
,FRED MEYER STORES INC                                                 ,FRED MEYER PHARMACY #668                ,13401 OLD GLENN HWY                                    ,                                                       ,EAGLE RIVER                   ,AK,99577,    ,(907)689-4033,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO
,WAL-MART STORES INC                                                   ,WAL-MART PHARMACY 10-2188               ,18600 EAGLE RIVER RD                                   ,                                                       ,EAGLE RIVER                   ,AK,99577,    ,(907)694-9786,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
,WALGREEN CO                                                           ,WALGREENS #15362                        ,12051 OLD GLENN HWY                                    ,                                                       ,EAGLE RIVER                   ,AK,99577,    ,(907)696-4000,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO
,BANNER HOME MEDICAL EQUIPMENT                                         ,BANNER HOME MEIDAL EQUIPMENT-FMIT       ,19 COLLEGE RD                                          ,UNIT D                                                 ,FAIRBANKS                     ,AK,99701,    ,(907)458-5421,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO
,FRED MEYER STORES INC                                                 ,FRED MEYER PHARMACY #224                ,930 OLD STEESE HWY                                     ,                                                       ,FAIRBANKS                     ,AK,99701,    ,(907)459-4233,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO
,FRED MEYER STORES INC                                                 ,FRED MEYER PHARMACY #485                ,3755 AIRPORT WAY                                       ,                                                       ,FAIRBANKS                     ,AK,99709,    ,(907)474-1433,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO
,INTERIOR MEDICAL SUPPLY LLC                                           ,INTERIOR MEDICAL SUPPLY                 ,915 30TH AVE                                           ,STE 106                                                ,FAIRBANKS                     ,AK,99701,    ,(907)457-8486,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO
,MUNGER PROSTHETICS AND ORTHOTICS INC                                  ,MUNGER PROSTHETICS AND ORTHOTICS IN     ,3455 REWAK DR                                          ,SUITE 101                                              ,FAIRBANKS                     ,AK,99709,    ,(907)459-9159,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
,PROCARE HOME MEDICAL INC                                              ,"PROCARE HOME MEDICAL, INC.              ",3519 INDUSTRIAL AVE                                    ,                                                       ,FAIRBANKS                     ,AK,99701,    ,(907)458-8912,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,NO
,SAFEWAY INC                                                           ,SAFEWAY PHARMACY #3410                  ,30 COLLEGE RD                                          ,                                                       ,FAIRBANKS                     ,AK,99701,    ,(907)374-4160,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
,SAFEWAY INC                                                           ,SAFEWAY PHARMACY 2754                   ,3627 AIRPORT WAY                                       ,                                                       ,FAIRBANKS                     ,AK,99701,    ,(907)374-4060,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
