Competitive Bid Service Area,Company Name,DBA Name,Address,Address 2,City,State,Zip,Zip Plus 4,Phone,Oxygen Supplies and Equipment,Mail-Order Diabetic Supplies,"Enteral Nutrients, Equipment and Supplies","CPAP Devices, Respiratory Assist Devices, and Related Supplies and Accessories",Hospital Beds and Related Accessories,Negative Pressure Wound Therapy Pumps and Related Supplies and Accessories,Walkers and Related Accessories,Support Surfaces (Group 2 mattresses and overlays),"Standard (Power & Manual) Wheelchairs, Scooters, and Related Accessories",External Infusion Pumps and Supplies,General Home Equipment and Related Supplies and Accessories,Respiratory Equipment and  Related Supplies and Accessories,Standard Mobility Equipment and Related Accessories,Is Supplier Participating?,Automatic External Defibrillators (AEDS),"Commodes, Urinals, & Bedpans",Continuous Passive Motion (CPM) Devices,Dynamic Splints,Blood Glucose Monitors & Supplies: Non-Mail Order,Blood Glucose Monitors & Supplies: Mail Order,Blood Glucose Monitors: Mail Order,Gastric Suction Pumps,Heat & Cold Applications,Hospital Beds: Electric,Hospital Beds: Total Electric & Pediatric,Hospital Beds: Manual,Hospital Beds: Manual & Pediatric,Infrared Heating Pad Systems,Infusion Pumps & Supplies: External Infusion,Infusion Pumps: Implantable & Uninterrupted,Infusion Pumps & Supplies: Insulin Infusion,Infusion Pumps & Supplies: Implanted Infusion,Negative Pressure Wound Therapy Pumps & Supplies,Neuromuscular Electrical Stimulators (NMES),Osteogenesis Stimulators,Pneumatic Compression Devices,Speech Generating Devices,"Support Surfaces: Pressure Reducing Beds, Mattresses, Overlays, & Pads",Support Surfaces (e.g. Air Fluidized bed),Traction Equipment,Transcutaneous Electrical Nerve Stimulators (TENS) Units,Ultraviolet Light Devices,Home Dialysis Equipment & Supplies,Hemodialysis Equipment & Supplies,Canes & Crutches,Patient Lifts,Power Operated Vehicles (Scooters),Seat Lift Mechanisms,Walkers,Wheelchairs & Accessories: Standard Manual,Wheelchairs & Accessories: Standard Manual (e.g. Pediatrics),Wheelchairs & Accessories: Standard Power,Wheelchairs & Accessories: Standard Power (e.g. Pediatrics and custom cushions ),Wheelchairs & Accessories: Complex Rehabilitative Manual,Wheelchairs & Accessories: Complex Rehabilitative Power,"Wheelchairs & Accessories: Complex Rehabilitative Power (e.g. Group 3, Group 4, Group 5)",Wheelchair Seating/Cushions,Wheelchair Seating/Cushions (e.g. skin protecting seat cushions),Orthoses: Custom Fabricated,Orthoses: Prefabricated,Orthoses: Off-the-Shelf,Breast Prostheses & Accessories,Cochlear Implants,Facial Prostheses,Neurostimulators,Ocular Prostheses,Ostomy Supplies,Somatic Prostheses,Tracheostomy Supplies,Urological Supplies,Voice Prosthetics,Prosthetic Lenses: Conventional Eyeglasses,Prosthetic Lenses: Conventional Contact Lenses,Prosthetic Lenses: Prosthetic Cataract Lenses,"Enteral Nutrients, Equipment, & Supplies",Enteral Nutrients & Supplies for Special Metabolic Needs and Pediatrics,"Parenteral Nutrients, Equipment & Supplies",Limb Prostheses,Eye Prostheses,"CPAP, RADs, & Related Supplies & Accessories",CPAP and RADs Supplies (e.g. combination masks),High Frequency Chest Wall Oscillation (HFCWO) Devices,Invasive Mechanical Ventilation,Intermittent Positive Pressure Breathing (IPPB) Devices,Intrapulmonary Percussive Ventilation Devices,Mechanical In-Exsufflation Devices,Nebulizer Equipment & Supplies,Nebulizer Equipment: Ultrasonic and Controlled Dose,Oxygen Equipment & Supplies,Respiratory Suction Pumps,"Ventilators, Accessories & Supplies",Surgical Dressings,Diabetic Shoes & Inserts: Prefabricated,Diabetic Shoes & Inserts: Custom Fabricated
,SAMS WEST INC                                                         ,SAMS PHARMACY 10-6603                   ,48 COLLEGE RD                                          ,                                                       ,FAIRBANKS                     ,AK,99701,    ,(907)451-4813,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
,WAL-MART STORES INC                                                   ,WALMART PHARMACY 10-2722                ,537 JOHANSEN EXPRESSWAY                                ,                                                       ,FAIRBANKS                     ,AK,99701,    ,(907)344-7300,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
,WALGREEN CO                                                           ,WALGREENS #15944                        ,530 OLD STEESE HWY                                     ,                                                       ,FAIRBANKS                     ,AK,99701,    ,(907)457-9301,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO
,WALGREEN CO                                                           ,WALGREENS #16024                        ,1350 SPORTSMAN WAY                                     ,                                                       ,FAIRBANKS                     ,AK,99709,    ,(907)456-5360,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO
,CARR-GOTTSTEIN FOODS COMPANY                                          ,SAFEWAY PHARMACY #1832                  ,90 STERLING HWY                                        ,                                                       ,HOMER                         ,AK,99603,    ,(907)226-1060,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
,PRODIGY MEDICAL LLC                                                   ,PRODIGY MEDICAL LLC                     ,347 W DANVIEW                                          ,                                                       ,HOMER                         ,AK,99603,    ,(907)226-3400,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO
,CARR-GOTTSTEIN FOODS COMPANY                                          ,SAFEWAY PHARMACY #1820                  ,3033 VINTAGE BLVD                                      ,                                                       ,JUNEAU                        ,AK,99801,    ,(907)523-2060,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
,FRED MEYER STORES INC                                                 ,FRED MEYER PHARMACY #158                ,8181 OLD GLACIER RD                                    ,                                                       ,JUNEAU                        ,AK,99801,    ,(907)789-0860,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO
,MICHAEL J BENNETT                                                     ,MICHAEL J BENNETT                       ,9309 GLACIER HWY                                       ,SUITE A103                                             ,JUNEAU                        ,AK,99801,    ,(907)789-3175,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
,RON'S APOTHECARY INC                                                  ,RON'S APOTHECARY SHOPPE                 ,9101 MENDENHALL MALL RD                                ,                                                       ,JUNEAU                        ,AK,99801,    ,(907)789-0458,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
,"SOUTH EAST ALASKA MEDICAL SUPPLIERS, INC.                             ",SOUTH EAST ALASKA MEDICAL SUPPLIERS     ,5636 GLACIER HWY                                       ,STE 200                                                ,JUNEAU                        ,AK,99801,    ,(907)586-6880,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO
,WAL-MART STORES INC                                                   ,WAL MART PHARMACY 10-3814               ,6525 GLACIER HWY                                       ,                                                       ,JUNEAU                        ,AK,99801,    ,(907)789-2440,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
,CARR-GOTTSTEIN FOODS COMPANY                                          ,SAFEWAY PHARMACY #1808                  ,10576 KENAI SPUR HWY                                   ,                                                       ,KENAI                         ,AK,99611,    ,(907)283-6360,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
,WAL-MART STORES INC                                                   ,WALMART PHARMACY 10-4474                ,10096 KENAI SPUR HWY                                   ,                                                       ,KENAI                         ,AK,99611,    ,(907)395-0871,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
,ISLAND PHARMACY INC                                                   ,ISLAND PHARMACY                         ,3526 TONGASS AVE                                       ,                                                       ,KETCHIKAN                     ,AK,99901,    ,(907)225-6186,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO
,NEAL K HANSEN                                                         ,HANSEN'S HOMECARE                       ,9737 MUD BAY RD                                        ,STE 102                                                ,KETCHIKAN                     ,AK,99901,    ,(907)225-6445,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO
,SOUTHEAST ALASKA PROSTHETICS AND ORTHOTICS LLC                        ,SOUTHEAST ALASKA PROSTHETICS AND OR     ,5193 BORCH ST N                                        ,                                                       ,KETCHIKAN                     ,AK,99901,    ,(907)254-1276,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES
,WAL-MART STORES INC                                                   ,WLAMART PHARMACY 10-2710                ,4230 DON KING RD                                       ,                                                       ,KETCHIKAN                     ,AK,99901,    ,(907)247-2183,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
,SAFEWAY INC                                                           ,SAFEWAY PHARMACY #1090                  ,2685 MILL BAY RD                                       ,                                                       ,KODIAK                        ,AK,99615,    ,(907)481-1560,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
,WAL-MART STORES INC                                                   ,WALMART PHARMACY 10-2711                ,2911 MILL BAY RD                                       ,                                                       ,KODIAK                        ,AK,99615,    ,(907)481-1675,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
,CARR-GOTTSTEIN FOODS COMPANY                                          ,SAFEWAY PHARMACY #1821                  ,301 N SANTA CLAUS LN                                   ,                                                       ,NORTH POLE                    ,AK,99705,    ,(907)490-2760,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
,CARR-GOTTSTEIN FOODS COMPANY                                          ,CARRS PHARMACY #1739                    ,664 W EVERGREEN AVE                                    ,                                                       ,PALMER                        ,AK,99645,    ,(907)761-1460,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
,FRED MEYER STORES INC                                                 ,FRED MEYER PHARMACY #671                ,650 N COBB STREET                                      ,                                                       ,PALMER                        ,AK,99645,    ,(907)761-4233,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO
,PETERSBURG REXALL DRUG INC                                            ,PETERSBURG REXALL DRUG INC              ,215 N NORDIC RD                                        ,                                                       ,PETERSBURG                    ,AK,99833,    ,(907)772-3265,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,YES,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
,CARR-GOTTSTEIN FOODS COMPANY                                          ,SAFEWAY PHARMACY #2728                  ,MILE 1.5 SEWARD HWY                                    ,                                                       ,SEWARD                        ,AK,99664,    ,(907)224-6960,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
,WAYNE T HAGERMAN OD PC                                                ,SITKA VISION CLINIC                     ,700 KATLIAN ST                                         ,STE C                                                  ,SITKA                         ,AK,99835,    ,(907)747-6644,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
,WHITES INC                                                            ,HARRY RACE PHARMACY HOME MEDICAL        ,117 GRANITE CREEK RD                                   ,STE 102                                                ,SITKA                         ,AK,99835,    ,(907)966-2104,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,YES,NO,NO,YES,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES
,ADVANCED BIOMECHANICS INC                                             ,ADVANCED BIOMECHANICS INC               ,215 N FIREWEED ST                                      ,                                                       ,SOLDOTNA                      ,AK,99669,    ,(907)262-1515,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES
,FRED MEYER STORES INC                                                 ,FRED MEYER PHARMACY #017                ,43843 STERLING HWY                                     ,                                                       ,SOLDOTNA                      ,AK,99669,    ,(907)260-2233,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO
,"FRONTIER GROUP, INC.                                                  ",FRONTIER MEDICAL                        ,165 SHADY LN                                           ,                                                       ,SOLDOTNA                      ,AK,99669,    ,(907)260-8916,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO
,"GENEVA WOODS PHARMACY, INC.                                           ",GENEVA WOODS HEALTHCARE SERVICES        ,44604 STERLING HWY C                                   ,                                                       ,SOLDOTNA                      ,AK,99669,    ,(907)262-2424,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,YES,NO,NO,YES,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,NO,NO
,KAMUCK INCORPORATED                                                   ,ALASKARE HOME MEDICAL EQUIPMENT         ,35911 KENAI SPUR HWY                                   ,SUITE 11                                               ,SOLDOTNA                      ,AK,99669,    ,(907)260-4433,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,YES,NO,YES,NO,NO
,PROFESSIONAL HOME IV INC                                              ,PROFESSIONAL HOME IV INC                ,182 S BIRCH ST                                         ,                                                       ,SOLDOTNA                      ,AK,99669,    ,(907)262-8737,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
,SAFEWAY INC                                                           ,SAFEWAY PHARMACY #0548                  ,44428 STERLING HWY                                     ,                                                       ,SOLDOTNA                      ,AK,99669,    ,(907)714-5460,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
,SOLDOTNA PROFESSIONAL PHARMACY                                        ,SOLDOTNA PROFESSIONAL PHARMACY INC      ,299 N BINKLEY ST                                       ,                                                       ,SOLDOTNA                      ,AK,99669,    ,(907)262-3800,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO
,"ALASKA EYE CARE CENTERS, APC                                          ",ALASKA EYE CARE CENTERS                 ,1700 E PARKS HWY                                       ,# 300                                                  ,WASILLA                       ,AK,99654,    ,(907)376-5266,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
